comment,–ù—Ä–∞–≤–∏—Ç—Å—è —Å–∫–æ—Ä–æ—Å—Ç—å –æ—Ç—Ä–∞–±–æ—Ç–∫–∏ –∑–∞—è–≤–æ–∫,–ù—Ä–∞–≤–∏—Ç—Å—è –∫–∞—á–µ—Å—Ç–≤–æ –≤—ã–ø–æ–ª–Ω–µ–Ω–∏—è –∑–∞—è–≤–∫–∏,–ù—Ä–∞–≤–∏—Ç—Å—è –∫–∞—á–µ—Å—Ç–≤–æ —Ä–∞–±–æ—Ç—ã —Å–æ—Ç—Ä—É–¥–Ω–∏–∫–æ–≤,–ü–æ–Ω—Ä–∞–≤–∏–ª–æ—Å—å –≤—ã–ø–æ–ª–Ω–µ–Ω–∏–µ –∑–∞—è–≤–∫–∏,–í–æ–ø—Ä–æ—Å —Ä–µ—à–µ–Ω,–û—Ç—Ä–∏—Ü–∞—Ç–µ–ª—å–Ω–æ–µ
"Отлично, спасибо большое ",0,0,0,1,1,0
"спасибо, проблема была решена",0,0,0,0,1,0
Спасибо за оперативность. После укладки плитки остались незаделанные швы на стыке. Для сравнения на 1 этаже в холле швы ровно закрыты. Просьба завершить работу до конца. ,0,0,0,0,0,0
два дня мусоропровод. сегодня с утра тоже,0,0,0,0,0,0
Все быстро и оперативно. Спасибо ,1,0,0,0,0,0
Мгновенно. Спасибо,0,0,0,0,1,0
"на мою просьбу быстро отреагировали, позвонили и быстро решили проблему",1,0,0,0,0,0
Спасибо Татьяне!) Быстро и понятно все объяснила!),0,0,0,0,1,0
спасибо! оперативно все починили,0,0,0,0,0,0
"Все, решили оперативно ",1,0,0,0,1,0
"добрый день! прошу указать сроки настройки системы аскуэ. пока система не работает, показания которые передаем вручную не учитываются?",0,0,0,0,0,1
"да открыла спасибо
",0,0,0,0,1,0
Все решили! Перезвонили . Спасибо ,0,0,0,0,1,0
быстро и четко,1,0,0,0,0,0
неверный логин пароль,0,0,0,0,0,0
Спасибо!,0,0,0,1,1,0
спасибо,0,0,0,1,1,0
спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,0,0,0,0,0,0
Спасибо большое всё решили быстро!,0,0,0,0,1,0
Огромное спасибо вам от всего подъезда!!!   ))))),0,0,0,0,0,0
оперативно и качественно. спасибо ,1,0,0,0,1,0
"проблема не решена,но даны исчерпывающие разъяснения и рекомеедации",0,0,0,0,0,0
"быстро, оперативно. спасибо!",1,0,0,0,0,0
спасибо👍,0,0,0,1,1,0
"спасибо за  быстрый ответ! 


",1,0,0,0,1,0
забрал очки,0,0,0,0,0,0
Очень быстро отреагировали и устранили проблему ,1,0,0,0,0,0
"батарея полностью горячая, спасибо огромное за работу",0,0,0,0,1,0
"здравствуйте, была услышана специалистом, проблема решена в теч. 1-ой минуты, срасибо",0,0,0,0,0,0
Спасибо за быстрое реагирование!!!,1,0,0,0,0,0
"Пришли,, окна подкрутили. Быстро. ",0,0,0,0,0,0
Спасибо Сергей ! )))),0,0,0,0,0,0
"быстро прислали код.
единственное что смущает  коды легкие слишком.",0,0,0,0,0,0
👍👍👍,0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
"быстро отреагировали, спасибо",1,0,0,0,0,0
Благодарю за оперативное решение проблемы ! ,1,0,0,0,0,0
"Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.",0,0,1,0,0,0
спасибо!,0,0,0,1,1,0
Спасибо!,0,0,0,1,1,0
"спасибо, заявка выполнена.",0,0,0,0,1,0
"20 января, пока запаа нет",0,0,0,0,0,0
спасибо за оперативность.,1,0,0,0,0,0
"Большое спасибо за своевременную обратную связь! Всё чётко объяснили,культурно!",0,0,0,0,1,0
не работают 2 грузовых лифта,0,0,0,0,0,1
"оперативно пришли, выполнили осмотр, составили акт! на все интересующие вопросы ответили. благодарю!",0,0,0,0,0,0
вот это скорость выполнения заявки 🔥 вот это я понимаю! в пример всем остальным! спасибо большое! 👍🏽👏🏽,0,0,0,0,0,0
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",0,0,0,0,0,0
спасибо,0,0,0,1,1,0
"спасибо, быстро и оперативно!!!",1,0,0,0,1,0
Спасибо ,0,0,0,1,1,0
Спасибо!,0,0,0,1,1,0
"Быстро, качественно устранил наш засор ",0,0,0,0,0,0
спасибо юлии и ерлану за решение вопроса!,0,0,0,0,1,0
"оперативно устранили, дали консультацию ",0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
отличный мастер.,0,0,1,0,0,0
"всё было сделано быстро и качественно, огромное спасибо мастеру",0,0,0,0,0,0
"сантехник пришел в день об обращения, вопрос решен на месте, спасибо за оперативность.",0,0,0,0,0,0
Спасибо 😉 ,0,0,0,1,1,0
Очень грамотный специалист. Устранил моментально.,0,0,1,0,0,0
подача горячей воды в систему отопления была выполнена в течение 30 мин. с момента подачи заявки по отсутствию отопления.,0,0,0,0,0,0
Спасибо!,0,0,0,1,1,0
спасибо большое! ,0,0,0,1,1,0
"Проблема устранена, достаточно оперативно ",0,0,0,0,0,0
спасибо за оперативность,1,0,0,0,0,0
спасибо большое за скорость,0,0,0,0,1,0
спасибо ,0,0,0,1,1,0
"Быстро приехал мастер , составили акт . ",0,0,0,0,0,0
Благодарю за оперативность ))Хорошего дня),1,0,0,0,0,0
"большое спасибо, все починили очень оперативно!",0,0,0,0,1,0
спасибо,0,0,0,1,1,0
спасибо 🙏,0,0,0,1,1,0
"всё быстро, качественно, вежливо",1,0,0,0,0,0
Отлично!,0,0,0,0,1,0
спасибо оперативно починили 👍,0,0,0,0,0,0
"Спасибо большое, свет сделали",0,0,0,0,1,0
"Большое спасибо, очень внимательно и клиентоориентированность на высшем уровне ",0,0,0,0,0,0
огромное спасибо 👍,0,0,0,0,1,0
кнопки не светятся при нажатии,0,0,0,0,0,1
"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",0,0,0,0,0,0
спасибо!,0,0,0,1,1,0
спасибо за работу!,0,0,0,0,1,0
здравствуйте! спасибо огромное специалистам за быстрый ответ и решение нашей проблемы!,0,0,0,0,1,0
"Спасибо большое, все получила ",0,0,0,1,1,0
Спасибо огромнейшее за оперативность ❤️,1,0,0,0,0,0
огромное спасибо!!!,0,0,0,0,1,0
Добрый день. Спасибо за разъяснение. Всего вам хорошего.,0,0,0,0,0,0
Хочу выразить особую благодарность Татьяне за проявленный интерес к моему вопросу!,0,0,0,0,0,0
"Вежливые, доброжелательные. Разъяснили, подсказали.",0,0,0,0,0,0
Спасибо за быстрое и качественное решение вопроса ,0,0,0,0,1,0
Большое спасибо ,0,0,0,1,1,0
Спасибо Большое! Всё сделано супер!,0,0,0,0,1,0
отработали оперативно,1,0,0,0,0,0
"где можно посмотреть прайс на услуги ваших электриков? что за инкогнито цены, которые мне потом озвучивают?",0,0,0,0,0,0
Спасибо! Все заработало ,0,0,0,0,1,0
вода стала теплее,0,0,0,0,0,0
спасибо большое за оперативный ответ,1,0,0,0,1,0
Лучший ,0,0,0,0,1,0
спасибо!,0,0,0,1,1,0
благодарю!,0,0,0,0,1,0
"Просто и удобно, а также быстро и экономия времени и ресурсов
.",0,0,0,0,0,0
"очень оперативно решили вопрос, спасибо!",0,0,0,0,1,0
Спасибо за вашу работу ,0,0,0,0,1,0
оперативно пришел сотрудник и нашел источник протечки,0,0,0,0,1,0
профессионал. все решили.,0,0,0,0,1,0
"мастер просто супер! сделал всё на высшем уровне, спасибо большое 👍",0,0,0,0,0,0
"Отличный специалист, вопрос решен. Спасибо.",0,0,0,0,0,0
Благодарю за оперативность!,1,0,0,0,0,0
выполнили заявку через 2 недели,0,0,0,0,0,0
засор устранили,0,0,0,0,0,0
спасибо,0,0,0,1,1,0
Все быстро и качественно ,1,1,0,0,0,0
"отличная работа, быстро, качественно 🙌",0,0,0,0,0,0
все быстро и хорошо,0,0,0,0,0,0
"все отлично, проблема решена",0,0,0,0,1,0
"очень понравился ваш сотрудник. все проверил, показал, объяснил. надеюсь с отоплением проблем не будет. спасибо",0,0,0,0,0,0
"лифт работает,я довольна",0,0,0,0,0,0
спасибо,0,0,0,1,1,0
спасибо ,0,0,0,1,1,0
спасибо! александр все оперативно выполнил. очень внимательно и уважительно исполнил заказ.,0,0,0,0,1,0
спасибо за оперативность за быструю обратную связь,1,0,0,0,0,0
Спасибо. ,0,0,0,1,1,0
cспасибо!,0,0,0,0,0,0
Спасибо,0,0,0,1,1,0
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",0,0,0,0,0,0
спасибо большое 🙂👍👍👍,0,0,0,1,1,0
"спасибо за оперативность и грамотный, развёрнутый ответ) 
",1,0,0,0,0,0
"отлично!спасибо,мастер все установил как нужно.",0,0,0,0,0,0
"в приложении по-прежнему другой человек,  тоже сергей александров, но не тот",0,0,0,0,0,1
оперативно.,1,0,0,0,0,0
Среагировали за 20 минут!!!!,0,0,0,0,0,0
Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!,0,0,0,0,0,0
спасибо огромное специалисту за оперативность и профессионализм. ,0,0,0,0,0,0
спасибо. показания исправлены,0,0,0,0,0,0
быстро и качественно!,1,1,0,0,0,0
сотрудники молодцы!,0,0,0,0,0,0
нужно поменять фоновую трубу,0,0,0,0,0,0
"Спасибо! Так быстро сделали , красивую светодиодную лампу поставили ",0,0,0,0,1,0
Спасибо за оперативное решение,1,0,0,0,1,0
"спасибо, игорь",0,0,0,0,0,0
В первый раз так быстро,0,0,0,0,0,0
вода течет горячая! спасибо!,0,0,0,0,1,0
"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",0,0,0,0,0,0
в лучшем виде ,0,0,0,0,0,0
спасибо! очень оперативно! 5+,1,0,0,0,0,0
все рассказали и объяснили,0,0,0,0,1,0
"включили лифт быстро, но как надоело это наблюдать почти каждый день!",0,0,0,0,0,0
Большое спасибо я! Оперативно все сделали!,0,0,0,0,1,0
очень вежливый и внимательный мастер. все выяснил и починил !,0,0,1,0,0,0
"Все супер, Очень оперативно и профессионально, Спасибо ",0,0,0,0,0,0
спасибо. ,0,0,0,1,1,0
Все отлично ,0,0,0,0,1,0
спасибо за оперативное решение проблемы. ,1,0,0,0,1,0
Все отлично! Спасибо.,0,0,0,1,1,0
первый раз за 5 лет заявка выполнена как полагается и оперативно! спасибо!,0,0,0,0,0,0
очень оперативно внесли данные по поверке ,0,0,0,0,0,0
Хороший сотрудник. Приятно общаться и получать ответы на все вопросы. ,0,0,1,0,0,0
быстро и оперативно демонтировали замок,1,0,0,0,0,0
Роман и его коллега СУПЕР специалисты 👍🏻👍🏻👍🏻,0,0,0,0,0,0
Спасибо.. все сделали быстро .. очень вежливые сотрудники. ,0,0,0,0,0,0
спасибо,0,0,0,1,1,0
спасибо ,0,0,0,1,1,0
сантехник пришёл всё сделал,0,0,1,0,0,0
благодарю за оперативность проведённой работы!,1,0,0,0,0,0
"проблема не решена.! укажите эл. почту, я вам скину чек об оплате за декабрь.",0,0,0,0,0,0
супер мастер! протечка устранена ! спасибо !,0,0,0,0,1,0
Быстро качественно ,1,1,0,0,0,0
"Спасибо за помощь
",0,0,0,0,1,0
"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",0,0,0,0,0,0
спасибо,0,0,0,1,1,0
"спасибо, за быструю реакцию и решение проблемы",1,0,0,0,0,0
Хорошая девушка менеджер ! Очень понятливая и на 100% вошла в положение всех жителей и донесла это до руководства ! Благодарю её! ,0,0,0,0,0,0
спасибо большое,0,0,0,1,1,0
Все отлично! Спасибо ,0,0,0,1,1,0
"спасибо ,очень быстро выполнили работу",1,0,0,0,0,0
Большое спасибо мастеру!,0,0,1,0,0,0
Отлично!!!,0,0,0,0,1,0
спасибо за обратную связь!,0,0,0,0,0,0
благодарю,0,0,0,0,1,0
Спасибо!,0,0,0,1,1,0
спасибо! все оперативно и быстро было сделано! 👍🏻,0,0,0,0,1,0
спасибо))),0,0,0,1,1,0
"Все быстро, не смотря на поздний час.",0,0,0,0,0,0
спасибо за организованность,0,0,0,0,1,0
"вы лучшие,  благодарю.",0,0,0,0,1,0
спасибо!,0,0,0,1,1,0
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),0,0,0,0,0,0
спасибо специалисту. ,0,0,0,0,1,0
"супер, теперь кнопка светится",0,0,0,0,1,0
очень оперативно,1,0,0,0,0,0
всё отлично,0,0,0,0,1,0
спс,0,0,0,0,0,0
Огромное Спасибо.,0,0,0,0,1,0
спасибо!,0,0,0,1,1,0
Быстрая реакция на обращение. На данный момент протечек нет.,0,0,0,0,0,0
супер мастер !!!,0,0,1,0,0,0
спасибо большое всем кто помог решить данную проблему ,0,0,0,0,0,0
всё сделали хорошо и быстро.,0,0,0,0,0,0
ключ не работает!,0,0,0,0,0,1
Спасибо ,0,0,0,1,1,0
все работает как надо! спасибо!,0,0,0,0,1,0
Все быстро и четко!!! Спасибо!,1,0,0,0,0,0
Быстро среагировали и решили проблему. Спасибо!,1,0,0,0,0,0
спасибо огромное.у нас в самолёте первоклассные специалисты.👍,0,0,0,0,1,0
отличный аккуратный специалист.,0,0,1,0,0,0
оперативно отреагировали быстро сделали спасибо,1,0,0,0,0,0
Надолго ли(,0,0,0,0,0,0
большое спасибо,0,0,0,1,1,0
жду ответа,0,0,0,0,0,0
"Молодцы, очень оперативно!!!!! Прям минус одна головная боль ",0,0,0,0,0,0
"спасибо, вижу счетчики в приложении",0,0,0,0,0,0
спасибо,0,0,0,1,1,0
все оперативно устранили,1,0,0,0,1,0
Очень радует работа УК. Оперативно! Спасибо!,0,0,0,0,0,0
всё отлично!,0,0,0,0,1,0
спасибо,0,0,0,1,1,0
благодарю за оперативное предоставление информации!,1,0,0,0,0,0
Все очень оперативно ,0,0,0,0,0,0
Спасибо большое за оперативное решение,1,0,0,0,1,0
"спасибо, хорошо убрали!",0,0,0,0,1,0
Отлично,0,0,0,0,1,0
"спасибо за оперативность, ключи получила.",1,0,0,0,0,0
Замечательный мастер ,0,0,1,0,0,0
"профессионально, быстро. очень приятный мастер",0,0,1,0,0,0
ждём морозной погоды что бы замерить тепловизором температуру на стене.,0,0,0,0,0,0
супер!,0,0,0,0,1,0
благодарю за быстрый ответ,1,0,0,0,1,0
спасибо электрику,0,0,0,0,0,0
спасибо всё бистро устранили ,0,0,0,0,1,0
Спасибо,0,0,0,1,1,0
Супер!!!,0,0,0,0,1,0
Спасибо большое!,0,0,0,1,1,0
спасибо большое за разъяснения и за оперативность,1,0,0,0,0,0
проблема не устранена! запах от тех. шкафа остался. сейчас ещё сильнее стало вонять,0,0,0,0,0,0
быстро среагировали! спасибо,1,0,0,0,0,0
вчера мне сказали несколько диспетчеров что заявки не было о протечке с моего жк,0,0,0,0,0,1
"прекрасный специалист, спасибо!",0,0,0,0,0,0
"все супер ,спасибо -))))",0,0,0,0,1,0
"по состоянию на 18:12, 28.01 оба лифта работают, спасибо !!!!!!!!!!",0,0,0,0,0,0
Хороший мастер,0,0,1,0,0,0
Все было сделано быстро и качественно.,0,0,0,0,0,0
"ольга, когда парковку достроят?",0,0,0,0,0,0
все быстро сделали,1,0,0,0,0,0
Большое спасибо Василию за проделанную работу!,0,0,0,0,0,0
все ок,0,0,0,0,1,0
спасибо,0,0,0,1,1,0
Быстро и четко!!!,1,0,0,0,0,0
"работа выполнена быстро, проблема решена",0,0,0,0,0,0
Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!,0,0,0,0,0,0
спасибо,0,0,0,1,1,0
спасибо большое,0,0,0,1,1,0
сантехник андрей качественно выполнил свою работу.,0,0,1,0,0,0
Супер! Спасибо большое!,0,0,0,1,1,0
